FECHA;TMAX;TMIN
1/01/2022;24.4;10
2/01/2022;23.2;9.6
3/01/2022;24.3;9.8
4/01/2022;23.2;8.6
5/01/2022;22.2;8
6/01/2022;21.6;11.4
7/01/2022;22.4;11.7
8/01/2022;22.1;13.2
9/01/2022;21.4;12
10/01/2022;21.9;11.3
11/01/2022;22.3;12.4
12/01/2022;22;12.2
13/01/2022;23;10.2
14/01/2022;23;11.6
15/01/2022;21.5;9.8
16/01/2022;17.8;11.6
17/01/2022;22.4;11.2
18/01/2022;24;10.6
19/01/2022;24.6;10.6
20/01/2022;24.8;11
21/01/2022;24;13.6
22/01/2022;23.5;10.5
23/01/2022;22;11.9
24/01/2022;23;9.5
25/01/2022;23.6;10.6
26/01/2022;22.8;12.3
27/01/2022;23;10.1
28/01/2022;22.8;9.7
29/01/2022;21;10.2
30/01/2022;20;9.2
31/01/2022;19.8;10.2
1/02/2022;21.6;8.8
2/02/2022;22.6;10.3
3/02/2022;22.8;10
4/02/2022;24.2;10.5
5/02/2022;24;9
6/02/2022;23.2;9
7/02/2022;24.6;9.7
8/02/2022;25;9.4
9/02/2022;23.2;8
10/02/2022;22;8
11/02/2022;23;7.8
12/02/2022;24.2;8
13/02/2022;23.8;9.8
14/02/2022;23.4;12.5
15/02/2022;23.8;9.5
16/02/2022;23.6;11.2
17/02/2022;23;12
18/02/2022;22.8;12
19/02/2022;21.6;13.5
20/02/2022;22;10.8
21/02/2022;22.8;10
22/02/2022;22.8;9.6
23/02/2022;19.8;11.2
24/02/2022;20;12.8
25/02/2022;20.2;12
26/02/2022;20;10.8
27/02/2022;21.5;11.4
28/02/2022;21.2;13.4
1/03/2022;19.2;12.5
2/03/2022;22.8;10.6
3/03/2022;23;13.4
4/03/2022;20;13.3
5/03/2022;21;12.8
6/03/2022;20;13
7/03/2022;17;12.3
8/03/2022;15.2;12
9/03/2022;16.6;12.4
10/03/2022;20;11.6
11/03/2022;21.8;11
12/03/2022;22.8;11.4
13/03/2022;21;10.4
14/03/2022;21.5;12
15/03/2022;22;12.4
16/03/2022;22;10.6
17/03/2022;22.6;10
18/03/2022;23.6;10.4
19/03/2022;23.5;10.3
20/03/2022;23.8;11.3
21/03/2022;24;11.4
22/03/2022;23.4;10.8
23/03/2022;22.6;10.8
24/03/2022;23.2;10.5
25/03/2022;23;10.1
26/03/2022;21.6;9.6
27/03/2022;22.6;9
28/03/2022;22.6;12.5
29/03/2022;23.6;11.4
30/03/2022;23.2;9.8
31/03/2022;23.4;8.6
1/04/2022;22.2;9.4
2/04/2022;23;8.4
3/04/2022;23;10.2
4/04/2022;24.5;10.4
5/04/2022;23.4;14
6/04/2022;24.4;11.2
7/04/2022;24.8;10.2
8/04/2022;23.6;10.6
9/04/2022;23.4;9.7
10/04/2022;22.2;8.6
11/04/2022;22.6;8
12/04/2022;24.4;6
13/04/2022;24;6.6
14/04/2022;23.8;6.5
15/04/2022;23.2;5.5
16/04/2022;24.4;7.1
17/04/2022;23;4.2
18/04/2022;22;4.9
19/04/2022;22.4;5
20/04/2022;21.8;6.6
21/04/2022;21.6;6.6
22/04/2022;21.6;7.4
23/04/2022;22.2;5.8
24/04/2022;21.4;5.8
25/04/2022;22.8;5.9
26/04/2022;22.6;9.5
27/04/2022;23;9
28/04/2022;23.6;8.5
29/04/2022;22.6;7.8
30/04/2022;23.4;8.6
