fecha;y
2001-01-01;130.29
2001-02-01;119.35
2001-03-01;112.3
2001-04-01;117.83
2001-05-01;106.75
2001-06-01;98.52
2001-07-01;101.04
2001-08-01;114.62
2001-09-01;121.16
2001-10-01;139.6
2001-11-01;148.27
2001-12-01;145.65
2002-01-01;125.87
2002-02-01;102.07
2002-03-01;123.74
2002-04-01;116.59
2002-05-01;106.21
2002-06-01;99
2002-07-01;99.09
2002-08-01;114.84
2002-09-01;133.97
2002-10-01;143.66
2002-11-01;151.96
2002-12-01;130.55
2003-01-01;125.98
2003-02-01;115.09
2003-03-01;123.04
2003-04-01;126.53
2003-05-01;101.23
2003-06-01;94.75
2003-07-01;100.25
2003-08-01;112.4
2003-09-01;135.67
2003-10-01;140.67
2003-11-01;154.57
2003-12-01;138.92
2004-01-01;135.48
2004-02-01;123.2
2004-03-01;120.66
2004-04-01;120.55
2004-05-01;106.73
2004-06-01;100.52
2004-07-01;101.28
2004-08-01;114.59
2004-09-01;131.59
2004-10-01;149.56
2004-11-01;153.46
2004-12-01;141.46
2005-01-01;127.76
2005-02-01;116.38
2005-03-01;121.02
2005-04-01;118.19
2005-05-01;109.32
2005-06-01;101.07
2005-07-01;102.7
2005-08-01;115.1
2005-09-01;120.38
2005-10-01;145.52
2005-11-01;149.3
2005-12-01;134.76
2006-01-01;115.06
2006-02-01;93.24
2006-03-01;104.72
2006-04-01;111.56
2006-05-01;104.53
2006-06-01;98.55
2006-07-01;102.95
2006-08-01;113.88
2006-09-01;128.98
2006-10-01;142.05
2006-11-01;150.67
2006-12-01;151.38
2007-01-01;122.65
2007-02-01;143.62
2007-03-01;123.05
2007-04-01;114.83
2007-05-01;107.39
2007-06-01;99.26
2007-07-01;102.09
2007-08-01;113.95
2007-09-01;124.53
2007-10-01;142.59
2007-11-01;151.79
2007-12-01;149.22
2008-01-01;131.66
2008-02-01;118.2
2008-03-01;133
2008-04-01;117.5
2008-05-01;103.48
2008-06-01;99.41
2008-07-01;104.48
2008-08-01;113.87
2008-09-01;127.8
2008-10-01;145.46
2008-11-01;154.33
2008-12-01;135.42
2009-01-01;125.17
2009-02-01;128.38
2009-03-01;113.2
2009-04-01;116.59
2009-05-01;106.69
2009-06-01;99.31
2009-07-01;104.11
2009-08-01;118.47
2009-09-01;129.34
2009-10-01;148.9
2009-11-01;144.23
2009-12-01;134.27
2010-01-01;109.73
2010-02-01;104.6
2010-03-01;106.56
2010-04-01;121.84
2010-05-01;105.43
2010-06-01;100.5
2010-07-01;105.23
2010-08-01;116.87
2010-09-01;130.59
2010-10-01;138.98
2010-11-01;152.84
2010-12-01;131.38
2011-01-01;113.95
2011-02-01;114.31
2011-03-01;98.17
2011-04-01;119.2
2011-05-01;110.94
2011-06-01;100.52
2011-07-01;105.34
2011-08-01;115.39
2011-09-01;130.29
2011-10-01;145.12
2011-11-01;144.77
2011-12-01;148.94
2012-01-01;120.26
2012-02-01;126.14
2012-03-01;121.69
2012-04-01;117.99
2012-05-01;109
2012-06-01;98.98
2012-07-01;95.51
2012-08-01;105.44
2012-09-01;127.66
2012-10-01;149.83
2012-11-01;153.55
2012-12-01;144.02
2013-01-01;101.62
2013-02-01;111.59
2013-03-01;102.46
2013-04-01;118.71
2013-05-01;100.63
2013-06-01;97.67
2013-07-01;103.53
2013-08-01;117.95
2013-09-01;123.41
2013-10-01;144.3
2013-11-01;150.82
2013-12-01;137.87
2014-01-01;150.81
2014-02-01;115.99
2014-03-01;133.88
2014-04-01;110.97
2014-05-01;110.42
2014-06-01;97.4
2014-07-01;102.37
2014-08-01;117.98
2014-09-01;134.56
2014-10-01;145.17
2014-11-01;156.12
2014-12-01;144.66
2015-01-01;131.66
2015-02-01;118.2
2015-03-01;133
2015-04-01;117.5
2015-05-01;103.48
2015-06-01;99.41
2015-07-01;104.48
2015-08-01;113.87
2015-09-01;127.8
2015-10-01;145.46
2015-11-01;154.33
2015-12-01;135.42
2016-01-01;118.27
2016-02-01;104.01
2016-03-01;123.02
2016-04-01;114.22
2016-05-01;107.73
2016-06-01;99.8
2016-07-01;102.99
2016-08-01;118.41
2016-09-01;127.19
2016-10-01;142.2
2016-11-01;143.89
2016-12-01;146.23
2017-01-01;134.66
2017-02-01;105.82
2017-03-01;119.48
2017-04-01;118.95
2017-05-01;107.96
2017-06-01;101.45
2017-07-01;97.89
2017-08-01;119.55
2017-09-01;132.18
2017-10-01;148.53
2017-11-01;142.75
2017-12-01;142.3
2018-01-01;141.52
2018-02-01;104.01
2018-03-01;112.96
2018-04-01;103.09
2018-05-01;104.29
2018-06-01;98.11
2018-07-01;95.84
2018-08-01;114.15
2018-09-01;129.45
2018-10-01;141.42
2018-11-01;143.32
2018-12-01;144.22
2019-01-01;115.06
2019-02-01;93.24
2019-03-01;104.72
2019-04-01;111.56
2019-05-01;104.53
2019-06-01;98.55
2019-07-01;102.95
2019-08-01;113.88
2019-09-01;128.98
2019-10-01;142.05
2019-11-01;150.67
2019-12-01;151.38
2020-01-01;125.98
2020-02-01;116.29
2020-03-01;117.22
2020-04-01;116.44
2020-05-01;108.14
2020-06-01;92
2020-07-01;91.1
2020-08-01;115.82
2020-09-01;136.75
2020-10-01;139.36
2020-11-01;151.81
2020-12-01;145.45
2021-01-01;130.4
2021-02-01;101.85
2021-03-01;103.52
2021-04-01;109.41
2021-05-01;106.3
2021-06-01;100.3
2021-07-01;102.93
2021-08-01;113.9
2021-09-01;130.85
2021-10-01;140.01
2021-11-01;148.64
2021-12-01;148.85
