fecha;y
2001-01-01;122.04
2001-02-01;103.99
2001-03-01;111.15
2001-04-01;104.97
2001-05-01;118.55
2001-06-01;114.29
2001-07-01;131.31
2001-08-01;116.07
2001-09-01;108.73
2001-10-01;97.88
2001-11-01;104.06
2001-12-01;95.92
2002-01-01;91.96
2002-02-01;104.8
2002-03-01;114.2
2002-04-01;115.91
2002-05-01;127.47
2002-06-01;114.92
2002-07-01;133.65
2002-08-01;137.47
2002-09-01;117.98
2002-10-01;117.3
2002-11-01;114.06
2002-12-01;120.02
2003-01-01;112
2003-02-01;108.66
2003-03-01;113.26
2003-04-01;101.91
2003-05-01;108.27
2003-06-01;127.54
2003-07-01;111.31
2003-08-01;132.23
2003-09-01;120.16
2003-10-01;111.6
2003-11-01;110.93
2003-12-01;106.36
2004-01-01;102.9
2004-02-01;102.57
2004-03-01;112.96
2004-04-01;121.03
2004-05-01;140.09
2004-06-01;144.43
2004-07-01;128.42
2004-08-01;119.46
2004-09-01;114.35
2004-10-01;124.17
2004-11-01;112.63
2004-12-01;112.12
2005-01-01;110.91
2005-02-01;97.62
2005-03-01;96.24
2005-04-01;98.34
2005-05-01;118.15
2005-06-01;139.52
2005-07-01;143.59
2005-08-01;130.76
2005-09-01;116.48
2005-10-01;126.34
2005-11-01;109.81
2005-12-01;118.97
2006-01-01;114.98
2006-02-01;108.67
2006-03-01;103.7
2006-04-01;104.46
2006-05-01;115.98
2006-06-01;105.52
2006-07-01;108.5
2006-08-01;102.69
2006-09-01;104.88
2006-10-01;102.86
2006-11-01;101.49
2006-12-01;103.14
2007-01-01;110.34
2007-02-01;121.02
2007-03-01;132.08
2007-04-01;139.34
2007-05-01;139.35
2007-06-01;111.66
2007-07-01;125.19
2007-08-01;132.95
2007-09-01;126.79
2007-10-01;136.91
2007-11-01;117.64
2007-12-01;124.09
2008-01-01;122.04
2008-02-01;103.99
2008-03-01;111.15
2008-04-01;104.97
2008-05-01;101.48
2008-06-01;100.11
2008-07-01;115.74
2008-08-01;108.88
2008-09-01;129.65
2008-10-01;138.1
2008-11-01;127.77
2008-12-01;115.62
2009-01-01;109
2009-02-01;115.55
2009-03-01;118.69
2009-04-01;119.78
2009-05-01;110.33
2009-06-01;102.74
2009-07-01;106.93
2009-08-01;118.7
2009-09-01;132.72
2009-10-01;130.59
2009-11-01;136.72
2009-12-01;124.53
2010-01-01;118.83
2010-02-01;122.26
2010-03-01;111.02
2010-04-01;115.89
2010-05-01;115.44
2010-06-01;108.09
2010-07-01;103.97
2010-08-01;100.59
2010-09-01;120.08
2010-10-01;124.27
2010-11-01;140.08
2010-12-01;133.74
2011-01-01;132.57
2011-02-01;119.06
2011-03-01;125.12
2011-04-01;125.48
2011-05-01;122.62
2011-06-01;112.8
2011-07-01;105.47
2011-08-01;101.66
2011-09-01;107.38
2011-10-01;115.98
2011-11-01;127.5
2011-12-01;134.59
2012-01-01;147.73
2012-02-01;120.42
2012-03-01;120.5
2012-04-01;122.09
2012-05-01;111.54
2012-06-01;110.82
2012-07-01;111.48
2012-08-01;99.9
2012-09-01;108.97
2012-10-01;102.44
2012-11-01;103.73
2012-12-01;118.89
2013-01-01;125.99
2013-02-01;129.42
2013-03-01;138.68
2013-04-01;119.88
2013-05-01;115.67
2013-06-01;116.67
2013-07-01;112.32
2013-08-01;107.42
2013-09-01;101.12
2013-10-01;100.43
2013-11-01;113.34
2013-12-01;124.68
2014-01-01;136.88
2014-02-01;140.09
2014-03-01;126.66
2014-04-01;117.8
2014-05-01;117.67
2014-06-01;122.5
2014-07-01;119.78
2014-08-01;128.07
2014-09-01;121.08
2014-10-01;101.05
2014-11-01;93.38
2014-12-01;98.09
2015-01-01;109.72
2015-02-01;132.66
2015-03-01;130.2
2015-04-01;143.16
2015-05-01;127.59
2015-06-01;118.89
2015-07-01;126.93
2015-08-01;131.8
2015-09-01;120.85
2015-10-01;107.73
2015-11-01;105.51
2015-12-01;101.47
2016-01-01;101.95
2016-02-01;112.35
2016-03-01;116.84
2016-04-01;130.32
2016-05-01;139.5
2016-06-01;135.73
2016-07-01;119.18
2016-08-01;117.95
2016-09-01;121.12
2016-10-01;113.12
2016-11-01;95.77
2016-12-01;105.26
2017-01-01;101.29
2017-02-01;103.95
2017-03-01;114.48
2017-04-01;123.98
2017-05-01;129.93
2017-06-01;140.23
2017-07-01;129.77
2017-08-01;116.38
2017-09-01;140.67
2017-10-01;131.66
2017-11-01;132.12
2017-12-01;109.16
2018-01-01;110.3
2018-02-01;101.33
2018-03-01;105.09
2018-04-01;117.22
2018-05-01;129.91
2018-06-01;106.48
2018-07-01;126.55
2018-08-01;115.42
2018-09-01;127.68
2018-10-01;123.98
2018-11-01;106.15
2018-12-01;104.16
2019-01-01;94.58
2019-02-01;97.02
2019-03-01;98.26
2019-04-01;103.06
2019-05-01;98.82
2019-06-01;116.87
2019-07-01;136.17
2019-08-01;136.73
2019-09-01;129.62
2019-10-01;117.03
2019-11-01;98.4
2019-12-01;95.65
2020-01-01;95.83
2020-02-01;105.16
2020-03-01;105.25
2020-04-01;86.04
2020-05-01;86.98
2020-06-01;132.07
2020-07-01;142.89
2020-08-01;130.27
2020-09-01;123.55
2020-10-01;118.02
2020-11-01;125.05
2020-12-01;109.8
2021-01-01;108.7
2021-02-01;98.52
2021-03-01;100.33
2021-04-01;106.59
2021-05-01;118.55
2021-06-01;100.04
2021-07-01;117.04
2021-08-01;113.55
2021-09-01;130.3
2021-10-01;112.7
2021-11-01;116.48
2021-12-01;107.28
