Time;TMAX
1/01/2021;24.4
2/01/2021;23.2
3/01/2021;24.3
4/01/2021;23.2
5/01/2021;22.2
6/01/2021;21.6
7/01/2021;22.4
8/01/2021;22.1
9/01/2021;21.4
10/01/2021;21.9
11/01/2021;22.3
12/01/2021;22
13/01/2021;23
14/01/2021;23
15/01/2021;21.5
16/01/2021;17.8
17/01/2021;22.4
18/01/2021;24
19/01/2021;24.6
20/01/2021;24.8
21/01/2021;24
22/01/2021;23.5
23/01/2021;22
24/01/2021;23
25/01/2021;23.6
26/01/2021;22.8
27/01/2021;23
28/01/2021;22.8
29/01/2021;21
30/01/2021;20
31/01/2021;19.8
1/02/2021;21.6
2/02/2021;22.6
3/02/2021;22.8
4/02/2021;24.2
5/02/2021;24
6/02/2021;23.2
7/02/2021;24.6
8/02/2021;25
9/02/2021;23.2
10/02/2021;22
11/02/2021;23
12/02/2021;24.2
13/02/2021;23.8
14/02/2021;23.4
15/02/2021;23.8
16/02/2021;23.6
17/02/2021;23
18/02/2021;22.8
19/02/2021;21.6
20/02/2021;22
21/02/2021;22.8
22/02/2021;22.8
23/02/2021;19.8
24/02/2021;20
25/02/2021;20.2
26/02/2021;20
27/02/2021;21.5
28/02/2021;21.2
1/03/2021;19.2
2/03/2021;22.8
3/03/2021;23
4/03/2021;20
5/03/2021;21
6/03/2021;20
7/03/2021;17
8/03/2021;15.2
9/03/2021;16.6
10/03/2021;20
11/03/2021;21.8
12/03/2021;22.8
13/03/2021;21
14/03/2021;21.5
15/03/2021;22
16/03/2021;22
17/03/2021;22.6
18/03/2021;23.6
19/03/2021;23.5
20/03/2021;23.8
21/03/2021;24
22/03/2021;23.4
23/03/2021;22.6
24/03/2021;23.2
25/03/2021;23
26/03/2021;21.6
27/03/2021;22.6
28/03/2021;22.6
29/03/2021;23.6
30/03/2021;23.2
31/03/2021;23.4
1/04/2021;22.2
2/04/2021;23
3/04/2021;23
4/04/2021;24.5
5/04/2021;23.4
6/04/2021;24.4
7/04/2021;24.8
8/04/2021;23.6
9/04/2021;23.4
10/04/2021;22.2
11/04/2021;22.6
12/04/2021;24.4
13/04/2021;24
14/04/2021;23.8
15/04/2021;23.2
16/04/2021;24.4
17/04/2021;23
18/04/2021;22
19/04/2021;22.4
20/04/2021;21.8
21/04/2021;21.6
22/04/2021;21.6
23/04/2021;22.2
24/04/2021;21.4
25/04/2021;22.8
26/04/2021;22.6
27/04/2021;23
28/04/2021;23.6
29/04/2021;22.6
30/04/2021;23.4
